occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
2c811893345a2e4735025d4065a084c1e97b39fc,1ea877923de05ca77bf3bd4a582d7ff3faced8fa,3c9d61ced588d51b2e71417e667e03dc,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::packages/rules/tsconfig.json::::include::::include/.::::. <-> code-server::::tsconfig.json::::compilerOptions::::baseUrl::::.,,,
4b4844d5d1c4de774f876dc23d930e297ff5b348,9bdc939d36b42c51d98a5849c4e9b5cb7bd364d1,73f85fb6fd8d69601799a62e0aeddd29,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::packages/web/tsconfig.json::::extends::::../tsconfig.json <-> code-server::::rules/tsconfig.json::::extends::::../tsconfig.json,,,
2c811893345a2e4735025d4065a084c1e97b39fc,1ea877923de05ca77bf3bd4a582d7ff3faced8fa,b6474dd0bcd9f51a11d81e0886818069,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::packages/logger/package.json::::main::::src/index.ts <-> code-server::::packages/node-browser/package.json::::main::::src/index.ts,,,
357fbfd41fca78f5f95bbec3ebe9026be2a841b1,11578e5455ee360af2a2ee5bdbe87eff31ab739a,3aebcfc46e377eed691c094378e7b82d,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,code-server::::packages/protocol/package.json::::dependencies::::spdlog::::spdlog:^0.7.2 <-> code-server::::packages/vscode/package.json::::dependencies::::spdlog::::spdlog:^0.7.2,packages/vscode/package.json,code-server::::packages/vscode/package.json::::dependencies::::spdlog(location: 11),git show 357fbfd41fca78f5f95bbec3ebe9026be2a841b1 -- packages/vscode/package.json
2c811893345a2e4735025d4065a084c1e97b39fc,1ea877923de05ca77bf3bd4a582d7ff3faced8fa,6b950034f95a928fe234c0e806600132,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::packages/electron-browser/package.json::::main::::src/index.ts <-> code-server::::packages/vscode/package.json::::main::::src/index.ts,,,
011ecefd0fd45405843cf93e3e5665edf62ebd5e,2b56116a9aa5e11476486ec203a830d1b47f3bd2,93252d15e48b0c4435a68c91d0e9fba7,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::Dockerfile::::copy::::dest::::. <-> code-server::::tsconfig.json::::compilerOptions::::rootDir::::.,,,
4268c22b83b9f8784362a22f7dc706c0395e8a71,0c4e565950be322e7c723426ac7525013e62ebbe,1f1ecb058147725a73c459d0e57199bc,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::packages/logger/package.json::::main::::src/index.ts <-> code-server::::packages/vscode/package.json::::main::::src/index.ts,packages/logger/package.json,code-server::::packages/logger/package.json::::main(location: 9),git show 4268c22b83b9f8784362a22f7dc706c0395e8a71 -- packages/logger/package.json
9ff86304e11c2fdfc7f2821ece5d59bdfa7d05fe,0d37e8f5841e87bf63c67468599f9f1249bb820a,0c18378625326587cccf102c84ae7537,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,code-server::::packages/server/package.json::::dependencies::::spdlog::::spdlog:^0.7.2 <-> code-server::::packages/vscode/package.json::::dependencies::::spdlog::::spdlog:^0.7.2,packages/server/package.json,code-server::::packages/server/package.json::::dependencies::::spdlog(location: 27),git show 9ff86304e11c2fdfc7f2821ece5d59bdfa7d05fe -- packages/server/package.json
9ff86304e11c2fdfc7f2821ece5d59bdfa7d05fe,0d37e8f5841e87bf63c67468599f9f1249bb820a,f121076811dc84775fd976b26fde9fa6,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,code-server::::package.json::::dependencies::::spdlog::::spdlog:^0.7.2 <-> code-server::::packages/vscode/package.json::::dependencies::::spdlog::::spdlog:^0.7.2,package.json,code-server::::package.json::::dependencies::::spdlog(location: 53),git show 9ff86304e11c2fdfc7f2821ece5d59bdfa7d05fe -- package.json
8021e7604d2ee35677024d2f2610748a13b4676c,ee1fcead402549eb56f182d321ef3dd3c1c4ba93,cb08e6d5a41e2f154f89b03377433c21,ModifiedOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,code-server::::packages/app/browser/package.json::::scripts::::build::::../../../node_modules/.bin/webpack --config ./webpack.config.js <-> code-server::::packages/app/chrome/package.json::::scripts::::build::::../../../node_modules/.bin/webpack --config ./webpack.config.js,packages/app/browser/package.json,code-server::::packages/app/browser/package.json::::scripts::::build(location: 5),git show 8021e7604d2ee35677024d2f2610748a13b4676c -- packages/app/browser/package.json
011ecefd0fd45405843cf93e3e5665edf62ebd5e,2b56116a9aa5e11476486ec203a830d1b47f3bd2,b8a6b80bdc0d702c0c5f1395df5c2771,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,code-server::::Dockerfile::::copy::::src::::. <-> code-server::::rules/tsconfig.json::::include::::include/.::::.,,,
