id;creationdate;score;title;tags;notes
50553352;27.05.2018 14:50;21;Spring retry connection until datasource is available;<mysql><spring><spring-boot><docker-compose><hikaricp>;nothing found
44790923;27.06.2017 22:28;20;Docker Compose + Spring Boot + Postgres connection;<spring><postgresql><docker><docker-compose><dockerfile>;database credentials, port, executable name, internal docker
47953901;23.12.2017 15:55;12;Spring Kafka Producer not sending to Kafka 1.0.0 (Magic v1 does not support record headers);<spring><spring-boot><apache-kafka><docker-compose><spring-kafka>;nothing found
57739617;31.08.2019 16:05;10;Spring Config server not reachable with docker-compose until client is restarted;<spring><spring-boot><docker><docker-compose><netflix-eureka>;config artifact
56441497;04.06.2019 09:52;7;Docker MySQL - can't connect from Spring Boot app to MySQL database;<mysql><spring><spring-boot><docker><docker-compose>;database credentials, port
58880998;15.11.2019 16:21;7;Communications link failure , Spring Boot + MySql +Docker + Hibernate;<mysql><spring><spring-boot><docker><docker-compose>;database credentials
48359972;20.01.2018 19:01;7;Spring Boot, PostgreSQL, and Docker - Connection Refused whil Running in Container;<spring><postgresql><docker><spring-boot><docker-compose>;database credentials, executable name, internal docker
63928330;16.09.2020 21:42;5;Error when trying to run the docker compose;<java><spring><docker><docker-compose><devops>;nothing found
45440862;01.08.2017 14:39;5;Properties with underscores in docker-compose.yml;<java><spring><hibernate><docker><docker-compose>;nothing found
65325129;16.12.2020 14:24;4;Execute Spring buildpacks when calling docker-compose build command;<spring><docker><docker-compose><buildpack><paketo>;nothing found
59229125;07.12.2019 18:39;4;Keycloak returns 500 / NPE URI in Spring on Docker container;<spring><docker><docker-compose><keycloak><http-status-code-500>;database credentials
63164991;30.07.2020 01:53;4;H2 console not working on Docker (remote connections ('webAllowOthers') are disabled);<spring><docker><docker-compose><dockerfile><h2>;executable name, internal docker
60109556;2020-02-07 08:21:38.050;3;Expose random port to docker-compose.yml;<java><spring><spring-boot><docker><docker-compose>;nothing found
60862687;26.03.2020 07:34;3;How to create docker-compose.yml file while using jib?;<angular><spring><docker-compose><dockerfile><jib>;nothing found
52037899;27.08.2018 11:05;3;Spring EurekaClient in container can't register to EurekaServer on localhost nor EurekaServer in docker container;<spring><docker><docker-compose><spring-cloud><netflix-eureka>;port, executable name, internal docker
53328497;15.11.2018 22:00;3;Docker-compose: no main manifest attribute in /app.war;<java><spring><spring-boot><docker><docker-compose>;database credentials, executable name, internal docker
47140535;06.11.2017 15:38;3;How do I convert values from environment variables from string to int to use as application properties in my Spring Boot application?;<java><spring><docker-compose><docker-swarm><spring-cloud-stream>;nothing found
42376690;21.02.2017 19:53;3;`const_get': uninitialized constant [class] (NameError)` after file save in Docker with Spring;<ruby-on-rails><spring><docker><docker-compose><ruby-on-rails-5>;nothing found
50340169;14.05.2018 23:01;3;How to understand that spring boot application is ready to work?;<java><spring><docker><spring-boot><docker-compose>;nothing found
44000391;16.05.2017 11:35;3;Docker compose. Networks. Spring Boot and MySQL connection;<mysql><spring><docker><docker-compose>;database credentials, executable name, internal docker, internal docker-compose network
61190332;2020-04-13 14:42:44.077;2;Problems deploying a project with docker;<spring><docker><docker-compose><dockerfile>;database credentials, port, executable name
53996836;01.01.2019 15:52;2;Angular cant connect to spring boot endpoints in docker compose;<angular><spring><spring-boot><docker><docker-compose>;executable name, internal docker, config artifact
51392666;18.07.2018 02:22;2;Could not locate PropertySource because of java.net.ConnectException: Connection refused;<spring><docker><spring-boot><docker-compose><microservices>;nothing found
58973857;21.11.2019 11:25;2;Visual studio code: Debug java spring boot applications inside docker compose;<java><spring><visual-studio-code><docker-compose><vscode-debugger>;executable name, internal docker
51974887;22.08.2018 20:48;2;Docker with Spring Boot application stuck at AnnotationConfigServletWebServerApplicationContext on RaspberryPi;<java><spring><docker><spring-boot><docker-compose>;nothing found
46315744;20.09.2017 07:26;2;Using external config in spring boot application within docker-compose;<spring><spring-boot><docker-compose>;nothing found
59535599;30.12.2019 18:55;2;Failed to deploy Spring and MySQL application using Docker;<spring><docker><docker-compose><dockerfile><mysql-connector>;database credentials
54238132;17.01.2019 14:32;2;docker-compose + spring boot few application don't connect;<java><spring><spring-boot><docker><docker-compose>;executable name, internal docker, port, internal docker-compose network
60669552;13.03.2020 11:20;2;Docker-compose refuses to connect to localhost;<spring><docker><docker-compose>;port
37102273;08.05.2016 16:44;2;Environment variables and @Value can't work together on Spring Boot;<java><spring><docker><spring-boot><docker-compose>;nothing found
62459167;18.06.2020 20:48;2;Spring Boot issue with Keycloak in Docker Compose;<java><spring><spring-boot><docker-compose><keycloak>;database credentials, internal docker-compose network
58176117;30.09.2019 22:41;2;How to set property name with dot from docker compose?;<java><spring><docker><docker-compose><yaml>;nothing found
35698317;29.02.2016 11:24;2;How docker volume container (mounted a host directory ) used in compose file version 2;<spring><mongodb><docker><docker-compose>;internal docker-compose network
43707742;30.04.2017 14:54;2;RabbitMq Spring Boot deploy docker;<java><spring><docker><spring-boot><docker-compose>;executable name, internal docker, port
62572837;25.06.2020 10:05;2;Run ADB on docker container created on Docker-Compose;<java><spring><docker><docker-compose><adb>;nothing found
38088712;2016-06-29 01:10:38.050;1;Docker + JHipster + Memory usage goes up;<java><spring><docker><docker-compose><jhipster>;nothing found
57287188;31.07.2019 09:11;1;Docker-compose up for a spring service and a mysql service works, but init.sql does is not loaded and Postman return empty data;<mysql><spring><docker><docker-compose><dockerfile>;database credentials, port, executable name, internal docker, internal docker-compose network
49487036;26.03.2018 08:28;1;Docker starting extremely slow and recieve exceptions using docker compose;<java><spring><docker><docker-compose><netflix-eureka>;database credentials
57892735;11.09.2019 15:49;1;How to deploy Spring app in docker container?;<java><spring><postgresql><docker><docker-compose>;executable name, internal docker, database credentials
66109629;08.02.2021 21:27;1;How to add container startup criteria, such as runing keytool in order to add certs to the keystore, to the Java Paketo buildpack?;<java><spring><docker-compose><buildpack><paketo>;nothing found
58444707;18.10.2019 05:53;1;Can't connect my spring-boot application running in docker container to cassandra container;<spring><spring-boot><docker><spring-mvc><docker-compose>;nothing found
34933116;21.01.2016 19:56;1;Docker-compose migrating from links to networking MongoDB database issue;<spring><mongodb><docker><spring-boot><docker-compose>;executable name, internal docker, port
58856158;14.11.2019 11:50;1;How can I use domain name as server.name in Dockerized Spring application;<spring><docker><tomcat><docker-compose><application.properties>;port, database credentials
67212769;22.04.2021 11:53;1;Dockerized Spring Application with environment variables;<java><spring><docker-compose>;nothing found
59087151;28.11.2019 10:51;1;Setting active spring profile using gradle in docker does not have any effect;<spring><spring-boot><docker><gradle><docker-compose>;database credentials, executable name, internal docker, config artifact
51135931;02.07.2018 12:10;1;How does Spring map Docker environment variables?;<spring><docker><docker-compose>;nothing found
60254509;17.02.2020 00:16;1;Spring-cloud-gateway Docker-compose;<spring><docker><docker-compose><dockerfile><spring-cloud-gateway>;internal docker-compose network
68001551;16.06.2021 11:12;1;Docker-compose for Spring Boot adaptation for different environements;<java><spring><spring-boot><docker><docker-compose>;database credentials, executable name, internal docker
59709324;13.01.2020 00:24;1;Docker-compose up throws Errors running first time and works ok after second run;<mysql><spring><docker-compose>;port, executable name, internal docker, database credentials
61973619;23.05.2020 14:34;1;Are there any port mapping specific features in a Spring application using Docker Compose?;<java><spring><docker><nginx><docker-compose>;config artifact, executable name, internal docker, internal docker-compose network
